Time,Currency,Impact,Event,Actual,Forecast
All Day,JPY,Non-Economic,Bank Holiday,,
All Day,CNY,Non-Economic,Bank Holiday,,
6:00pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.6%,
6:30pm,AUD,Low Impact Expected,ANZ Job Advertisements m/m,1:44,
6:30pm,AUD,Low Impact Expected,Building Approvals m/m,1:44,-10.2%
All Day,GBP,Non-Economic,Bank Holiday,,
12:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,,49.5
12:30am,CHF,Low Impact Expected,Manufacturing PMI,,52.0
12:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,,51.6
12:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,,52.8
12:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,,51.2
1:00am,EUR,Low Impact Expected,Final Manufacturing PMI,,52.2
1:30am,EUR,Low Impact Expected,Sentix Investor Confidence,,-20.9
All Day,EUR,Low Impact Expected,Eurogroup Meetings,,
7:00am,USD,Low Impact Expected,Factory Orders m/m,,0.5%
9:50am,USD,Low Impact Expected,FOMC Member Williams Speaks,,
10:05am,EUR,Low Impact Expected,German Buba President Nagel Speaks,,
Tentative,USD,Low Impact Expected,Loan Officer Survey,,
12:30pm,CAD,Medium Impact Expected,BOC Gov Macklem Speaks,,
All Day,JPY,Non-Economic,Bank Holiday,,
All Day,CNY,Non-Economic,Bank Holiday,,
6:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,,
6:30pm,AUD,Low Impact Expected,Household Spending m/m,,1.8%
9:30pm,AUD,High Impact Expected,Cash Rate,,4.35%
9:30pm,AUD,High Impact Expected,RBA Monetary Policy Statement,,
9:30pm,AUD,High Impact Expected,RBA Rate Statement,,
10:30pm,AUD,High Impact Expected,RBA Press Conference,,
11:30pm,CHF,Medium Impact Expected,CPI m/m,,0.3%
11:45pm,EUR,Low Impact Expected,French Gov Budget Balance,,
12:00am,EUR,Low Impact Expected,Spanish Unemployment Change,,-18.6K
All Day,EUR,Low Impact Expected,ECOFIN Meetings,,
5:30am,CAD,Low Impact Expected,Trade Balance,,-2.1B
5:30am,EUR,Medium Impact Expected,ECB President Lagarde Speaks,,
5:30am,USD,Low Impact Expected,Trade Balance,,-59.0B
6:45am,USD,Low Impact Expected,Final Services PMI,,51.3
7:00am,USD,High Impact Expected,ISM Services PMI,,53.8
7:00am,USD,High Impact Expected,JOLTS Job Openings,,6.87M
7:00am,USD,Medium Impact Expected,New Home Sales,,668K
7:00am,USD,Low Impact Expected,FOMC Member Bowman Speaks,,
Feb Data,USD,Medium Impact Expected,New Home Sales,,
Tentative,USD,Low Impact Expected,RCM/TIPP Economic Optimism,,42.0
Tentative,NZD,Low Impact Expected,GDT Price Index,,
9:30am,USD,Low Impact Expected,FOMC Member Barr Speaks,,
1:30pm,USD,Low Impact Expected,API Weekly Statistical Bulletin,,
2:00pm,NZD,Low Impact Expected,RBNZ Financial Stability Report,,
3:45pm,NZD,High Impact Expected,Employment Change q/q,,0.3%
3:45pm,NZD,High Impact Expected,Unemployment Rate,,5.4%
3:45pm,NZD,Low Impact Expected,Labor Cost Index q/q,,0.4%
All Day,JPY,Non-Economic,Bank Holiday,,
6:00pm,NZD,Medium Impact Expected,RBNZ Gov Breman Speaks,,
6:45pm,CNY,Low Impact Expected,RatingDog Services PMI,,52.0
11:45pm,EUR,Low Impact Expected,French Industrial Production m/m,,0.5%
12:15am,EUR,Low Impact Expected,Spanish Services PMI,,51.8
12:45am,EUR,Low Impact Expected,Italian Services PMI,,47.9
12:50am,EUR,Low Impact Expected,French Final Services PMI,,46.5
12:55am,EUR,Low Impact Expected,German Final Services PMI,,46.9
1:00am,EUR,Low Impact Expected,Final Services PMI,,47.4
1:00am,EUR,Low Impact Expected,Italian Retail Sales m/m,,-0.4%
1:30am,GBP,Low Impact Expected,Final Services PMI,,52.0
2:00am,EUR,Low Impact Expected,PPI m/m,,3.3%
5:15am,USD,Medium Impact Expected,ADP Non-Farm Employment Change,,90K
6:30am,USD,Low Impact Expected,FOMC Member Musalem Speaks,,
7:00am,CAD,Medium Impact Expected,Ivey PMI,,49.9
7:30am,USD,Low Impact Expected,Crude Oil Inventories,,
10:00am,USD,Low Impact Expected,FOMC Member Goolsbee Speaks,,
1:15pm,CAD,Medium Impact Expected,BOC Gov Macklem Speaks,,
2:10pm,NZD,Medium Impact Expected,RBNZ Gov Breman Speaks,,
4:50pm,JPY,Low Impact Expected,Monetary Base y/y,,-10.5%
4:50pm,JPY,Low Impact Expected,Monetary Policy Meeting Minutes,,
6:30pm,AUD,Low Impact Expected,Goods Trade Balance,,4.45B
11:00pm,EUR,Low Impact Expected,German Factory Orders m/m,,1.1%
11:45pm,EUR,Low Impact Expected,French Trade Balance,,-5.6B
12:00am,CHF,Low Impact Expected,Foreign Currency Reserves,,
12:00am,CHF,Low Impact Expected,Unemployment Rate,,3.0%
1:00am,GBP,Low Impact Expected,MPC Member Lombardelli Speaks,,
1:30am,GBP,Low Impact Expected,Construction PMI,,46.0
2:00am,EUR,Low Impact Expected,Retail Sales m/m,,-0.3%
Tentative,EUR,Low Impact Expected,Spanish 10-y Bond Auction,,
Tentative,EUR,Low Impact Expected,French 10-y Bond Auction,,
4:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,,
5:30am,USD,Medium Impact Expected,Unemployment Claims,,203K
5:30am,USD,Low Impact Expected,Prelim Nonfarm Productivity q/q,,1.0%
5:30am,USD,Low Impact Expected,Prelim Unit Labor Costs q/q,,2.5%
5:40am,GBP,Low Impact Expected,MPC Member Taylor Speaks,,
7:00am,USD,Low Impact Expected,Construction Spending m/m,,0.4%
Feb Data,USD,Low Impact Expected,Construction Spending m/m,,
7:30am,USD,Low Impact Expected,Natural Gas Storage,,
11:05am,USD,Low Impact Expected,FOMC Member Hammack Speaks,,
12:00pm,USD,Low Impact Expected,Consumer Credit m/m,,12.5B
12:30pm,USD,Low Impact Expected,FOMC Member Williams Speaks,,
4:30pm,JPY,Low Impact Expected,Average Cash Earnings y/y,,3.2%
Tentative,CNY,Low Impact Expected,Trade Balance,,570B
Tentative,CNY,Low Impact Expected,USD-Denominated Trade Balance,,82.4B
11:00pm,EUR,Low Impact Expected,German Industrial Production m/m,,0.4%
11:00pm,EUR,Low Impact Expected,German Trade Balance,,18.1B
11:00pm,GBP,Low Impact Expected,Halifax HPI m/m,,0.2%
All Day,EUR,Non-Economic,French Bank Holiday,,
12:00am,CHF,Low Impact Expected,SECO Consumer Climate,,-46
12:00am,EUR,Medium Impact Expected,ECB President Lagarde Speaks,,
2:45am,USD,Low Impact Expected,FOMC Member Cook Speaks,,
5:20am,GBP,High Impact Expected,BOE Gov Bailey Speaks,,
5:30am,CAD,High Impact Expected,Employment Change,,5.1K
5:30am,CAD,High Impact Expected,Unemployment Rate,,6.7%
5:30am,USD,High Impact Expected,Average Hourly Earnings m/m,,0.3%
5:30am,USD,High Impact Expected,Non-Farm Employment Change,,60K
5:30am,USD,High Impact Expected,Unemployment Rate,,4.3%
